"Ac-No","Name","sTime","Verify Mode","Machine","formattedDate"
188852,188852,"25/04/2024 8:03 AM",FP/PW/RF/FACE,1,"25/04/2024 08:03:00"
206549,206549,"25/04/2024 8:04 AM",FP/PW/RF/FACE,1,"25/04/2024 08:04:00"
10187,10187,"25/04/2024 8:04 AM",FP/PW/RF/FACE,1,"25/04/2024 08:04:00"
206257,206257,"25/04/2024 8:04 AM",FP/PW/RF/FACE,1,"25/04/2024 08:04:00"
206598,206598,"25/04/2024 8:04 AM",FP/PW/RF/FACE,1,"25/04/2024 08:04:00"
202923,202923,"25/04/2024 8:08 AM",FP/PW/RF/FACE,1,"25/04/2024 08:08:00"
202922,202922,"25/04/2024 8:08 AM",FP/PW/RF/FACE,1,"25/04/2024 08:08:00"
144083,144083,"25/04/2024 8:10 AM",FP/PW/RF/FACE,1,"25/04/2024 08:10:00"
147448,147448,"25/04/2024 8:11 AM",FP/PW/RF/FACE,1,"25/04/2024 08:11:00"
125679,125679,"25/04/2024 8:14 AM",FP/PW/RF/FACE,1,"25/04/2024 08:14:00"
206640,206640,"25/04/2024 8:15 AM",FP/PW/RF/FACE,1,"25/04/2024 08:15:00"
10033,10033,"25/04/2024 8:16 AM",FP/PW/RF/FACE,1,"25/04/2024 08:16:00"
202447,202447,"25/04/2024 8:22 AM",FP/PW/RF/FACE,1,"25/04/2024 08:22:00"
206657,206657,"25/04/2024 8:22 AM",FP/PW/RF/FACE,1,"25/04/2024 08:22:00"
156956,156956,"25/04/2024 8:28 AM",FP/PW/RF/FACE,1,"25/04/2024 08:28:00"
166104,166104,"25/04/2024 8:30 AM",FP/PW/RF/FACE,1,"25/04/2024 08:30:00"
198032,198032,"25/04/2024 8:33 AM",FP/PW/RF/FACE,1,"25/04/2024 08:33:00"
100194,100194,"25/04/2024 8:34 AM",FP/PW/RF/FACE,1,"25/04/2024 08:34:00"
10196,10196,"25/04/2024 8:34 AM",FP/PW/RF/FACE,1,"25/04/2024 08:34:00"
