"Ac-No","Name","sTime","Verify Mode","Machine"
"10190","10190","03/05/2024 4:40 PM","FP/PW/RF/FACE","2"
"10190","10190","03/05/2024 4:40 PM","FP/PW/RF/FACE","2"
"187338","187338","04/05/2024 7:53 AM","FP/PW/RF/FACE","2"
"187338","187338","04/05/2024 7:53 AM","FP/PW/RF/FACE","2"
"187338","187338","04/05/2024 7:54 AM","FP/PW/RF/FACE","2"
"187338","187338","04/05/2024 7:58 AM","FP/PW/RF/FACE","2"
"162890","162890","04/05/2024 8:11 AM","FP/PW/RF/FACE","2"
"162890","162890","04/05/2024 8:11 AM","FP/PW/RF/FACE","2"
"100205","100205","04/05/2024 8:28 AM","FP/PW/RF/FACE","2"
"100217","100217","04/05/2024 8:41 AM","FP/PW/RF/FACE","2"
"20007","20007","04/05/2024 8:47 AM","FP/PW/RF/FACE","2"
"20012","20012","04/05/2024 8:50 AM","FP/PW/RF/FACE","2"
"20016","20016","04/05/2024 8:50 AM","FP/PW/RF/FACE","2"
"20006","20006","04/05/2024 8:55 AM","FP/PW/RF/FACE","2"
"20013","20013","04/05/2024 8:55 AM","FP/PW/RF/FACE","2"
"101492","101492","04/05/2024 8:57 AM","FP/PW/RF/FACE","2"
"20004","20004","04/05/2024 9:02 AM","FP/PW/RF/FACE","2"
"20020","20020","04/05/2024 9:07 AM","FP/PW/RF/FACE","2"
"20014","20014","04/05/2024 9:45 AM","FP/PW/RF/FACE","2"
"20014","20014","04/05/2024 9:45 AM","FP/PW/RF/FACE","2"
"20013","20013","04/05/2024 10:19 AM","FP/PW/RF/FACE","2"
"20022","20022","04/05/2024 10:52 AM","FP/PW/RF/FACE","2"
"20019","20019","04/05/2024 10:56 AM","FP/PW/RF/FACE","2"
"20017","20017","04/05/2024 11:15 AM","FP/PW/RF/FACE","2"
"20005","20005","04/05/2024 12:20 PM","FP/PW/RF/FACE","2"
"20007","20007","04/05/2024 1:15 PM","FP/PW/RF/FACE","2"
"20019","20019","04/05/2024 1:19 PM","FP/PW/RF/FACE","2"
"20019","20019","04/05/2024 1:19 PM","FP/PW/RF/FACE","2"
"20005","20005","04/05/2024 2:10 PM","FP/PW/RF/FACE","2"
"20006","20006","04/05/2024 4:34 PM","FP/PW/RF/FACE","2"
"100223","100223","04/05/2024 6:10 PM","FP/PW/RF/FACE","2"
"20017","20017","04/05/2024 6:22 PM","FP/PW/RF/FACE","2"
